1787899763.2,-0.37,10.32,153.3,0.70,0.59,0.67,1.40,0.25,0.81,1.25,0.54,0.43,0.34,0.42,0.46,0.39,0.26,0.30,0.36
1787899763.7,-0.37,10.32,152.6,0.70,0.61,0.67,1.39,0.25,0.81,1.26,0.53,0.44,0.34,0.43,0.44,0.37,0.29,0.32,0.35
1787899764.2,-0.37,10.32,152.5,0.69,0.63,0.66,1.38,0.27,0.79,1.25,0.53,0.42,0.33,0.42,0.43,0.38,0.28,0.33,0.36
1787899764.7,-0.37,10.32,151.5,0.68,0.59,0.68,1.39,0.25,0.80,1.25,0.54,0.43,0.34,0.44,0.45,0.39,0.27,0.33,0.37
1787899765.2,-0.37,10.32,153.0,0.71,0.58,0.67,1.39,0.24,0.81,1.28,0.54,0.44,0.35,0.44,0.46,0.38,0.27,0.33,0.36
1787899765.7,-0.37,10.32,153.5,0.70,0.62,0.66,1.40,0.25,0.81,1.25,0.54,0.43,0.36,0.42,0.47,0.38,0.28,0.32,0.37
1787899767.7,0.14,10.45,189.6,1.29,0.35,0.41,1.15,1.46,0.35,0.29,0.20,0.18,0.25,0.40,0.35,0.40,0.46,0.73,0.83
1787899770.8,0.14,10.45,154.1,0.88,0.76,0.31,0.39,0.59,3.00,0.66,0.36,0.24,0.19,0.20,0.32,0.41,0.41,0.37,0.50
1787899771.3,-0.03,10.53,155.3,0.87,0.79,0.31,0.37,0.59,2.99,0.67,0.36,0.23,0.18,0.20,0.32,0.41,0.41,0.37,0.52
1787899771.8,-0.26,10.65,150.5,0.81,0.67,1.34,0.26,0.39,1.93,1.02,0.44,0.34,0.25,0.29,0.41,0.33,0.36,0.37,0.42
1787899772.3,-0.30,10.67,150.5,0.68,0.62,0.68,1.35,0.29,0.76,1.53,0.53,0.43,0.34,0.41,0.48,0.39,0.27,0.34,0.36
1787899772.9,-0.30,10.67,155.0,0.68,0.65,0.67,1.38,0.28,0.79,1.51,0.54,0.43,0.36,0.42,0.46,0.39,0.26,0.33,0.34
1787899773.4,-0.30,10.67,153.7,0.67,0.62,0.67,1.39,0.30,0.77,1.53,0.54,0.45,0.34,0.41,0.48,0.35,0.28,0.34,0.37
1787899773.9,-0.30,10.67,153.6,0.67,0.61,0.68,1.39,0.27,0.78,1.54,0.54,0.42,0.34,0.40,0.46,0.37,0.28,0.34,0.37
1787899774.4,-0.30,10.67,150.1,0.69,0.64,0.67,1.39,0.29,0.78,1.54,0.52,0.45,0.34,0.41,0.45,0.36,0.24,0.32,0.35
1787899774.9,-0.30,10.67,154.5,0.70,0.64,0.67,1.38,0.28,0.76,1.54,0.52,0.45,0.33,0.39,0.46,0.37,0.30,0.32,0.37
1787899776.9,-0.02,10.23,122.0,0.49,0.61,0.84,1.30,0.35,0.42,1.13,1.48,0.34,0.28,0.19,0.17,0.21,0.37,0.36,0.42
1787899778.9,-0.02,10.23,133.1,0.53,0.87,0.80,0.33,0.40,0.65,3.00,0.61,0.34,0.22,0.19,0.19,0.33,0.41,0.43,0.39
1787899781.0,-0.02,10.22,154.2,0.90,0.77,0.30,0.38,0.59,2.16,0.86,0.34,0.24,0.20,0.18,0.31,0.41,0.38,0.39,0.51
1787899781.5,-0.19,10.31,155.3,0.88,0.77,0.32,0.38,0.58,2.18,0.88,0.36,0.25,0.19,0.17,0.28,0.45,0.38,0.41,0.50
1787899781.9,-0.38,10.42,154.8,0.79,0.72,1.31,0.31,0.41,1.43,1.04,0.42,0.32,0.24,0.25,0.37,0.36,0.41,0.32,0.45
1787899782.4,-0.41,10.43,152.4,0.68,0.68,0.72,1.40,0.35,0.79,1.54,0.52,0.40,0.31,0.34,0.43,0.34,0.33,0.32,0.38
1787899783.0,-0.41,10.43,148.6,0.70,0.68,0.70,1.39,0.33,0.77,1.56,0.52,0.43,0.30,0.35,0.44,0.34,0.32,0.34,0.38
1787899783.5,-0.41,10.43,147.5,0.67,0.68,0.70,1.40,0.34,0.78,1.55,0.51,0.40,0.31,0.37,0.42,0.33,0.31,0.33,0.37
1787899783.9,-0.41,10.43,150.7,0.68,0.66,0.68,1.39,0.35,0.75,1.53,0.50,0.41,0.29,0.35,0.43,0.34,0.32,0.36,0.38
1787899784.5,-0.41,10.44,153.2,0.68,0.68,0.70,1.40,0.35,0.79,1.55,0.49,0.41,0.31,0.37,0.42,0.36,0.32,0.35,0.38
1787899785.0,-0.41,10.43,148.6,0.69,0.68,0.69,1.41,0.33,0.79,1.55,0.52,0.41,0.30,0.36,0.42,0.33,0.30,0.33,0.38
1787899787.1,0.11,10.53,183.8,0.83,0.37,0.39,0.96,1.79,0.32,0.26,0.17,0.14,0.15,0.32,0.42,0.45,0.44,0.58,0.90
1787899790.3,0.10,10.54,155.1,0.89,0.80,0.33,0.39,0.59,1.89,0.68,0.30,0.18,0.16,0.14,0.21,0.39,0.37,0.43,0.52
1787899790.7,-0.06,10.63,150.6,0.89,0.81,0.33,0.41,0.61,1.90,0.68,0.32,0.21,0.16,0.14,0.19,0.39,0.36,0.43,0.50
1787899791.2,-0.27,10.73,149.8,0.77,0.75,1.30,0.32,0.40,1.43,1.07,0.41,0.30,0.22,0.20,0.34,0.40,0.39,0.36,0.47
1787899791.8,-0.36,10.78,147.1,0.65,0.69,0.70,1.40,0.32,0.68,1.60,0.52,0.42,0.30,0.34,0.43,0.33,0.32,0.31,0.35
1787899792.3,-0.36,10.79,147.3,0.67,0.71,0.71,1.39,0.34,0.67,1.62,0.51,0.43,0.31,0.36,0.43,0.32,0.34,0.31,0.36
