1787896312.1,0.09,-0.46,271.4,2.23,0.61,0.34,0.30,0.25,0.29,0.36,0.74,2.27,0.49,0.31,0.31,0.21,0.28,0.33,0.81,tick=83160 goal=0
1787896312.3,0.10,-0.52,274.8,2.20,0.61,0.33,0.27,0.27,0.24,0.35,0.75,2.31,0.52,0.31,0.28,0.19,0.29,0.34,0.82,tick=83180 goal=0
1787896312.6,0.11,-0.60,271.6,2.19,0.60,0.34,0.26,0.29,0.24,0.38,0.77,2.34,0.52,0.35,0.27,0.23,0.28,0.34,0.82,tick=83201 goal=0
1787896313.1,0.12,-0.67,273.8,2.12,0.58,0.31,0.26,0.30,0.25,0.39,0.77,2.37,0.52,0.36,0.22,0.23,0.25,0.45,0.95,tick=83233 goal=0
1787896320.0,0.11,-0.64,106.0,1.19,0.48,0.35,0.20,0.24,0.28,0.48,1.70,1.31,0.48,0.32,0.27,0.29,0.27,0.44,1.29,tick=83944 goal=0
1787896320.2,0.10,-0.58,104.0,1.16,0.47,0.33,0.21,0.25,0.27,0.49,1.72,1.31,0.49,0.33,0.27,0.28,0.29,0.43,1.27,tick=83966 goal=0
1787896320.4,0.09,-0.52,104.5,1.13,0.46,0.30,0.18,0.23,0.27,0.51,1.75,1.39,0.49,0.33,0.29,0.26,0.33,0.43,1.26,tick=83987 goal=0
1787896320.6,0.08,-0.46,101.0,1.15,0.46,0.31,0.25,0.21,0.28,0.35,1.14,1.43,0.52,0.34,0.31,0.25,0.34,0.40,1.19,tick=84008 goal=0
1787896320.8,0.07,-0.40,98.3,1.13,0.45,0.30,0.26,0.19,0.28,0.35,1.13,1.44,0.48,0.35,0.33,0.24,0.34,0.41,1.21,tick=84029 goal=0
1787896321.1,0.05,-0.32,101.0,1.09,0.42,0.28,0.28,0.18,0.28,0.35,1.14,1.48,0.48,0.35,0.33,0.24,0.34,0.44,1.17,tick=84057 goal=0
1787896321.3,0.04,-0.26,99.9,1.27,0.42,0.27,0.28,0.23,0.21,0.34,1.14,1.53,0.52,0.36,0.33,0.26,0.32,0.45,1.16,tick=84078 goal=0
1787896321.5,0.03,-0.21,99.7,1.42,0.41,0.28,0.25,0.24,0.21,0.33,0.89,2.00,0.55,0.37,0.32,0.28,0.30,0.46,1.11,tick=84098 goal=0
1787896321.7,0.02,-0.15,102.4,1.41,0.40,0.29,0.24,0.23,0.19,0.36,0.89,2.03,0.55,0.38,0.28,0.29,0.31,0.49,1.08,tick=84119 goal=0
