1787895957.2,0.16,1.37,254.4,0.43,2.37,0.86,0.45,0.28,0.30,0.28,0.40,0.62,2.14,0.58,0.30,0.24,0.23,0.27,0.24,tick=47636 goal=0,0,0,
1787895957.8,0.16,1.38,267.3,1.29,1.55,0.52,0.38,0.30,0.28,0.31,0.53,1.35,0.93,0.34,0.26,0.20,0.25,0.25,0.37,tick=47699 goal=0,0,0,
1787895958.4,0.16,1.32,273.7,2.36,0.81,0.43,0.27,0.31,0.29,0.42,0.68,2.13,0.58,0.30,0.24,0.22,0.26,0.25,0.47,tick=47758 goal=0,0,0,
1787895959.0,0.17,1.26,280.9,2.39,0.58,0.41,0.27,0.31,0.30,0.50,1.00,2.16,0.55,0.29,0.21,0.25,0.23,0.26,0.69,tick=47817 goal=0,0,0,
1787895959.6,0.18,1.20,285.3,1.55,0.52,0.38,0.24,0.31,0.30,0.55,1.00,1.02,0.36,0.30,0.24,0.27,0.22,0.37,1.00,tick=47875 goal=0,0,0,
1787895960.2,0.20,1.14,287.0,1.22,0.49,0.37,0.23,0.32,0.33,0.58,1.43,0.97,0.37,0.28,0.26,0.26,0.21,0.38,1.00,tick=47934 goal=0,0,0,
1787895960.8,0.22,1.08,288.2,0.93,0.44,0.34,0.24,0.29,0.34,0.60,2.20,0.79,0.37,0.25,0.27,0.22,0.25,0.43,2.27,tick=47992 goal=0,0,0,
1787895961.3,0.25,1.03,293.3,0.74,0.42,0.33,0.24,0.32,0.32,0.64,2.23,0.68,0.37,0.26,0.24,0.21,0.31,0.61,2.26,tick=48050 goal=0,0,0,
1787895962.0,0.28,0.97,301.7,0.65,0.39,0.32,0.22,0.29,0.35,0.70,2.22,0.65,0.31,0.28,0.24,0.23,0.34,0.82,2.24,tick=48109 goal=0,0,0,
1787895962.6,0.32,0.92,309.0,0.45,0.31,0.29,0.22,0.33,0.36,1.13,1.47,0.46,0.31,0.30,0.20,0.28,0.38,1.18,1.44,tick=48178 goal=0,0,0,
1787895963.2,0.36,0.87,303.3,0.39,0.29,0.28,0.21,0.30,0.39,1.47,1.11,0.47,0.33,0.30,0.22,0.28,0.55,2.22,0.86,tick=48237 goal=0,0,0,
1787895963.8,0.40,0.82,310.8,0.34,0.27,0.28,0.19,0.31,0.39,1.54,0.94,0.46,0.34,0.25,0.27,0.32,0.57,2.18,0.79,tick=48295 goal=0,0,0,
1787895964.5,0.40,0.82,327.6,0.31,0.25,0.26,0.20,0.32,0.66,2.32,0.78,0.40,0.36,0.24,0.30,0.37,0.81,2.16,0.59,tick=48359 goal=0,0,0,
1787895965.2,0.40,0.82,339.8,0.24,0.27,0.20,0.30,0.39,2.29,0.93,0.48,0.34,0.26,0.31,0.33,0.57,2.20,0.68,0.33,tick=48433 goal=0,0,0,
1787895965.8,0.40,0.82,355.8,0.26,0.21,0.22,0.34,0.78,1.57,0.53,0.37,0.31,0.28,0.33,0.55,1.78,1.40,0.36,0.29,tick=48496 goal=0,0,0,
1787895966.4,0.40,0.82,8.5,0.26,0.18,0.33,0.65,2.36,0.78,0.39,0.36,0.24,0.30,0.36,0.80,2.13,0.62,0.32,0.26,tick=48559 goal=0,0,0,
1787895967.2,0.40,0.82,23.8,0.21,0.30,0.38,1.49,1.15,0.49,0.33,0.26,0.28,0.34,0.56,2.16,0.81,0.36,0.27,0.27,tick=48633 goal=0,0,0,
1787895967.8,0.40,0.82,35.1,0.18,0.33,0.77,1.60,0.53,0.36,0.32,0.26,0.32,0.52,1.17,1.41,0.38,0.32,0.25,0.23,tick=48697 goal=0,0,0,
1787895968.4,0.39,0.82,54.3,0.32,0.63,2.35,0.79,0.40,0.35,0.24,0.30,0.36,0.79,2.12,0.61,0.32,0.26,0.24,0.20,tick=48760 goal=0,0,0,
1787895969.1,0.39,0.81,67.8,0.38,1.52,1.12,0.49,0.35,0.26,0.28,0.32,0.56,2.17,0.84,0.35,0.26,0.27,0.20,0.28,tick=48824 goal=0,0,0,
1787895969.8,0.39,0.81,84.1,0.75,2.32,0.53,0.35,0.32,0.25,0.31,0.52,1.13,1.45,0.42,0.29,0.24,0.24,0.20,0.34,tick=48894 goal=0,0,0,
1787895970.4,0.40,0.87,83.9,1.91,0.93,0.49,0.35,0.27,0.28,0.34,0.58,2.18,0.68,0.32,0.26,0.26,0.19,0.30,0.39,tick=48958 goal=0,0,0,
1787895971.0,0.40,0.93,90.4,2.27,0.77,0.43,0.34,0.24,0.30,0.36,0.79,2.19,0.63,0.33,0.26,0.23,0.17,0.29,0.61,tick=49017 goal=0,0,0,
1787895971.6,0.39,0.99,97.3,2.24,0.71,0.41,0.33,0.25,0.31,0.40,0.89,2.26,0.47,0.30,0.27,0.18,0.25,0.31,0.67,tick=49075 goal=0,0,0,
1787895972.3,0.37,1.06,102.2,1.49,0.49,0.35,0.35,0.24,0.32,0.43,1.26,1.47,0.39,0.28,0.26,0.18,0.28,0.34,1.06,tick=49134 goal=0,0,0,
1787895972.9,0.35,1.12,108.4,0.85,0.42,0.30,0.31,0.23,0.36,0.62,2.28,0.73,0.38,0.30,0.17,0.23,0.28,0.58,2.20,tick=49202 goal=0,0,0,
1787895973.5,0.31,1.18,117.7,0.68,0.37,0.27,0.32,0.23,0.36,0.69,2.26,0.66,0.33,0.31,0.21,0.26,0.30,0.59,2.21,tick=49261 goal=0,0,0,
1787895974.1,0.28,1.24,124.1,0.60,0.35,0.27,0.30,0.26,0.38,0.93,2.08,0.47,0.34,0.20,0.25,0.26,0.35,0.74,2.17,tick=49329 goal=0,0,0,
1787895974.7,0.25,1.29,124.5,0.58,0.33,0.25,0.30,0.26,0.41,1.22,1.57,0.49,0.34,0.23,0.28,0.26,0.49,1.04,1.38,tick=49389 goal=0,0,0,
1787895975.3,0.21,1.33,124.6,0.37,0.31,0.22,0.29,0.27,0.41,1.30,1.25,0.46,0.38,0.26,0.28,0.29,0.51,1.33,0.97,tick=49448 goal=0,0,0,
1787895975.9,0.17,1.38,126.3,0.33,0.27,0.20,0.28,0.24,0.41,1.93,1.03,0.49,0.36,0.30,0.27,0.33,0.55,2.10,0.77,tick=49506 goal=0,0,0,
1787895976.5,0.17,1.38,143.6,0.30,0.23,0.20,0.28,0.26,0.49,2.36,0.81,0.44,0.29,0.31,0.29,0.45,0.68,2.08,0.56,tick=49570 goal=0,0,0,
