# calib spin dh=48.29999999999998 sign=1
S,109921,97.5,-68688,0,0.633,0,0.58,1.49,0.96,0.78,0.24,0.30,0.34,1.50,1.41,0.53,0.32,0.28,0.31,0.32,0.50,0.58
S,110024,101.0,-68577,0,0.620,0,0.55,1.44,1.00,0.75,0.23,-1.00,0.37,0.75,1.50,0.57,0.30,0.33,0.32,0.30,0.43,0.51
S,110127,98.3,-68473,0,0.630,0,0.48,1.41,1.03,0.72,0.36,0.27,0.37,0.75,1.53,0.59,0.33,0.34,0.32,0.33,0.39,0.46
S,110228,94.4,-68404,0,0.612,0,0.45,1.37,1.00,0.74,0.43,0.27,0.40,0.78,1.57,0.59,0.37,0.35,0.27,0.38,0.38,0.39
S,110331,98.9,-68328,0,0.628,0,-1.00,1.45,0.97,0.75,0.70,0.27,0.40,0.80,1.57,0.66,0.39,0.31,0.26,0.37,0.43,0.37
S,110432,96.7,-68261,0,0.625,0,0.38,1.43,0.95,0.76,0.71,0.37,0.45,0.83,1.62,0.66,0.42,0.33,0.28,0.36,0.44,0.34
S,110533,96.6,-68190,0,0.627,0,0.33,1.42,-1.00,0.78,0.73,0.41,0.33,0.84,1.67,0.71,0.43,0.30,0.32,0.32,0.41,0.30
S,110636,124.3,-68241,0,0.639,0,1.27,0.93,0.75,0.72,0.39,0.44,0.86,1.69,0.66,0.41,0.30,0.34,0.30,0.36,0.30,0.34
S,110737,138.9,-68252,0,0.642,0,0.89,0.75,0.70,0.41,0.30,0.55,1.71,0.71,0.47,0.31,0.37,0.32,0.34,0.28,0.31,1.38
S,110839,141.7,-68142,0,0.637,0,0.85,0.71,0.66,0.57,0.35,0.53,1.74,0.78,0.52,0.35,0.41,0.37,0.28,0.27,0.27,1.22
S,110941,142.1,-68031,0,0.648,0,0.77,0.67,0.58,0.59,0.38,0.34,1.80,0.85,0.60,0.41,0.39,0.45,0.26,0.26,0.23,1.13
S,111043,140.8,-67919,0,0.647,0,0.74,0.60,0.53,0.64,0.37,0.34,1.86,0.91,0.64,0.46,0.43,0.32,0.26,0.22,0.32,1.06
S,111144,140.1,-67811,0,0.664,0,0.68,0.54,0.47,0.60,0.44,0.39,1.90,0.99,0.68,0.51,0.45,0.29,0.22,0.16,1.12,1.01
S,111247,141.5,-67699,0,0.662,0,0.62,0.50,0.45,0.55,0.54,0.40,1.95,1.06,0.74,0.60,0.50,0.27,0.15,0.25,1.08,0.95
S,111347,142.7,-67585,0,0.691,0,0.59,0.47,0.46,0.49,0.54,0.40,0.45,1.14,0.80,0.64,0.57,0.19,0.19,0.27,1.07,0.89
S,111450,146.8,-67497,0,0.695,0,0.51,0.44,0.42,0.41,0.58,0.44,0.46,1.28,0.85,0.72,0.38,0.18,0.22,0.53,1.04,0.84
S,111551,144.2,-67426,0,0.697,0,0.48,0.42,0.38,0.39,0.56,0.51,0.50,1.35,0.87,0.73,0.36,0.21,0.24,1.60,1.05,0.78
S,111654,138.0,-67355,0,0.708,0,0.47,0.39,0.35,0.37,0.54,0.55,0.52,1.44,0.92,0.75,0.21,0.22,0.26,1.61,1.07,0.66
S,111755,142.3,-67284,0,0.704,0,0.40,0.37,0.32,0.34,0.51,0.56,0.53,1.52,0.96,0.79,0.26,0.25,0.29,1.58,1.03,0.63
S,111856,143.4,-67214,0,0.702,0,0.37,0.34,0.30,0.34,0.40,0.56,0.52,1.55,0.98,0.78,0.28,0.25,0.40,1.59,1.01,0.56
S,111957,140.9,-67145,0,0.734,0,0.34,0.34,0.28,0.33,0.35,0.54,0.54,1.60,1.04,0.76,0.30,0.29,0.47,0.98,0.98,0.54
S,112059,136.7,-67078,0,0.720,0,0.34,0.30,0.25,0.29,0.32,0.59,0.56,1.77,1.06,0.88,0.32,0.32,0.48,0.97,0.97,0.50
S,112160,100.2,-66973,0,0.712,0,0.92,0.36,0.31,0.27,0.25,0.33,0.37,0.60,0.58,1.37,0.97,0.32,0.30,0.31,1.40,0.91
S,112262,97.8,-66892,0,0.711,0,0.93,0.43,0.29,0.28,0.25,0.28,0.35,0.62,0.59,1.57,1.02,0.35,0.32,0.33,1.36,0.89
