1789579562.2 A PING 0.0 0.0 270 n=0
1789580297.4 POSE x=-2.27 y=-1.57 d11=0.383 d3=tick=424051 goal=0 here=0
1789580300.2 POSE x=-2.26 y=-1.56 d11=0.361 d3=tick=424336 goal=0 here=0
1789580303.5 POSE x=-2.31 y=-1.60 d11=0.340 d3=tick=424667 goal=0 here=0
1789580306.6 POSE x=-2.35 y=-1.63 d11=0.329 d3=tick=424968 goal=0 here=0
1789580309.3 POSE x=-2.40 y=-1.66 d11=0.312 d3=tick=425246 goal=0 here=0
1789580312.2 POSE x=-2.44 y=-1.69 d11=0.300 d3=tick=425530 goal=0 here=0
1789580315.5 POSE x=-2.49 y=-1.73 d11=0.295 d3=tick=425865 goal=0 here=0
1789580319.2 POSE x=-2.56 y=-1.77 d11=0.277 d3=tick=426235 goal=0 here=0
1789580322.1 POSE x=-2.58 y=-1.79 d11=0.260 d3=tick=426526 goal=0 here=0
1789580324.7 POSE x=-2.57 y=-1.78 d11=0.258 d3=tick=426785 goal=0 here=0
1789580328.0 POSE x=-2.61 y=-1.81 d11=0.246 d3=tick=427115 goal=0 here=0
1789580331.6 POSE x=-2.67 y=-1.85 d11=0.270 d3=tick=427471 goal=0 here=0
1789580334.8 POSE x=-2.72 y=-1.88 d11=0.280 d3=tick=427792 goal=0 here=0
1789580338.2 POSE x=-2.78 y=-1.92 d11=0.254 d3=tick=428130 goal=0 here=0
1789580341.5 POSE x=-2.81 y=-1.95 d11=0.264 d3=tick=428461 goal=0 here=0
1789580344.6 POSE x=-2.80 y=-1.94 d11=0.282 d3=tick=428768 goal=0 here=0
1789580347.7 POSE x=-2.85 y=-1.98 d11=0.269 d3=tick=429087 goal=0 here=0
1789580351.4 POSE x=-2.91 y=-2.01 d11=0.259 d3=tick=429450 goal=0 here=0
1789580354.3 POSE x=-2.96 y=-2.05 d11=0.264 d3=tick=429747 goal=0 here=0
1789580357.3 POSE x=-3.01 y=-2.08 d11=0.286 d3=tick=430041 goal=0 here=0
1789580359.7 POSE x=-3.05 y=-2.11 d11=0.269 d3=tick=430284 goal=0 here=0
1789580363.1 POSE x=-3.05 y=-2.11 d11=0.271 d3=tick=430623 goal=0 here=0
1789580366.6 POSE x=-3.08 y=-2.13 d11=0.273 d3=tick=430970 goal=0 here=0
1789580370.0 POSE x=-3.13 y=-2.17 d11=0.297 d3=tick=431315 goal=0 here=0
1789580373.1 POSE x=-3.18 y=-2.21 d11=0.274 d3=tick=431625 goal=0 here=0
1789580375.7 POSE x=-3.23 y=-2.23 d11=0.264 d3=tick=431884 goal=0 here=0
1789580378.2 POSE x=-3.27 y=-2.26 d11=0.259 d3=tick=432137 goal=0 here=0
1789580380.7 POSE x=-3.31 y=-2.29 d11=0.262 d3=tick=432386 goal=0 here=0
1789580383.3 POSE x=-3.35 y=-2.32 d11=0.272 d3=tick=432641 goal=0 here=0
1789580385.9 POSE x=-3.39 y=-2.35 d11=0.282 d3=tick=432901 goal=0 here=0
1789580388.6 POSE x=-3.43 y=-2.38 d11=0.270 d3=tick=433169 goal=0 here=0
1789580391.5 POSE x=-3.48 y=-2.41 d11=0.284 d3=tick=433461 goal=0 here=0
1789580394.2 POSE x=-3.53 y=-2.44 d11=0.304 d3=tick=433732 goal=0 here=0
1789580397.0 POSE x=-3.57 y=-2.47 d11=0.295 d3=tick=434016 goal=0 here=0
1789580400.0 POSE x=-3.62 y=-2.51 d11=0.313 d3=tick=434315 goal=0 here=0
1789580402.8 POSE x=-3.67 y=-2.54 d11=0.327 d3=tick=434598 goal=0 here=0
1789580405.4 POSE x=-3.71 y=-2.57 d11=0.350 d3=tick=434849 goal=0 here=0
1789580408.5 POSE x=-3.76 y=-2.60 d11=0.354 d3=tick=435161 goal=0 here=0
1789580411.1 POSE x=-3.80 y=-2.63 d11=0.353 d3=tick=435418 goal=0 here=0
1789580413.8 POSE x=-3.84 y=-2.66 d11=0.328 d3=tick=435697 goal=0 here=0
1789580416.7 POSE x=-3.89 y=-2.69 d11=0.348 d3=tick=435984 goal=0 here=0
1789580419.7 POSE x=-3.93 y=-2.72 d11=0.370 d3=tick=436282 goal=0 here=0
1789580422.7 POSE x=-3.97 y=-2.75 d11=0.369 d3=tick=436587 goal=0 here=0
1789580425.9 POSE x=-4.02 y=-2.78 d11=0.363 d3=tick=436907 goal=0 here=0
1789580428.9 POSE x=-4.07 y=-2.82 d11=0.394 d3=tick=437204 goal=0 here=0
1789580431.8 POSE x=-4.10 y=-2.84 d11=0.387 d3=tick=437492 goal=0 here=0
1789580434.4 POSE x=-4.12 y=-2.85 d11=0.385 d3=tick=437755 goal=0 here=0
1789580436.9 POSE x=-4.13 y=-2.86 d11=0.384 d3=tick=438001 goal=0 here=0
1789580439.4 POSE x=-4.14 y=-2.87 d11=0.395 d3=tick=438250 goal=0 here=0
1789580442.5 POSE x=-4.17 y=-2.89 d11=0.371 d3=tick=438560 goal=0 here=0
1789580445.7 POSE x=-4.21 y=-2.92 d11=0.379 d3=tick=438886 goal=0 here=0
1789580449.2 POSE x=-4.26 y=-2.95 d11=0.375 d3=tick=439236 goal=0 here=0
1789580452.5 POSE x=-4.31 y=-2.98 d11=0.349 d3=tick=439564 goal=0 here=0
1789580455.7 POSE x=-4.36 y=-3.02 d11=0.348 d3=tick=439885 goal=0 here=0
1789580458.9 POSE x=-4.40 y=-3.05 d11=0.338 d3=tick=440200 goal=0 here=0
1789580462.0 POSE x=-4.44 y=-3.08 d11=0.343 d3=tick=440520 goal=0 here=0
1789580465.6 POSE x=-4.50 y=-3.11 d11=0.344 d3=tick=440872 goal=0 here=0
1789580468.4 POSE x=-4.54 y=-3.14 d11=0.377 d3=tick=441157 goal=0 here=0
1789580471.9 POSE x=-4.59 y=-3.18 d11=0.397 d3=tick=441505 goal=0 here=0
1789580475.2 POSE x=-4.63 y=-3.21 d11=0.402 d3=tick=441829 goal=0 here=0
1789580478.3 POSE x=-4.68 y=-3.24 d11=0.388 d3=tick=442140 goal=0 here=0
1789580481.6 POSE x=-4.73 y=-3.27 d11=0.372 d3=tick=442472 goal=0 here=0
1789580484.6 POSE x=-4.77 y=-3.31 d11=0.339 d3=tick=442773 goal=0 here=0
1789580487.7 POSE x=-4.82 y=-3.34 d11=0.345 d3=tick=443084 goal=0 here=0
1789580490.8 POSE x=-4.87 y=-3.37 d11=0.315 d3=tick=443389 goal=0 here=0
1789580493.9 POSE x=-4.91 y=-3.40 d11=0.305 d3=tick=443701 goal=0 here=0
1789580496.7 POSE x=-4.96 y=-3.43 d11=0.295 d3=tick=443979 goal=0 here=0
1789580499.7 POSE x=-5.00 y=-3.46 d11=0.268 d3=tick=444281 goal=0 here=0
1789580502.6 POSE x=-5.05 y=-3.49 d11=0.265 d3=tick=444580 goal=0 here=0
1789580505.2 POSE x=-5.08 y=-3.52 d11=0.251 d3=tick=444837 goal=0 here=0
1789580507.8 POSE x=-5.12 y=-3.55 d11=0.254 d3=tick=445093 goal=0 here=0
1789580510.9 POSE x=-5.17 y=-3.58 d11=0.237 d3=tick=445405 goal=0 here=0
1789580513.8 POSE x=-5.21 y=-3.61 d11=0.255 d3=tick=445691 goal=0 here=0
1789580516.7 POSE x=-5.26 y=-3.64 d11=0.270 d3=tick=445984 goal=0 here=0
1789580519.2 POSE x=-5.29 y=-3.67 d11=0.272 d3=tick=446234 goal=0 here=0
1789580522.2 POSE x=-5.34 y=-3.70 d11=0.271 d3=tick=446534 goal=0 here=0
1789580525.3 POSE x=-5.39 y=-3.73 d11=0.268 d3=tick=446841 goal=0 here=0
1789580529.0 POSE x=-5.44 y=-3.77 d11=0.292 d3=tick=447216 goal=0 here=0
1789580532.1 POSE x=-5.49 y=-3.80 d11=0.272 d3=tick=447525 goal=0 here=0
1789580535.2 POSE x=-5.53 y=-3.83 d11=0.294 d3=tick=447829 goal=0 here=0
1789580538.2 POSE x=-5.58 y=-3.87 d11=0.286 d3=tick=448136 goal=0 here=0
1789580541.4 POSE x=-5.63 y=-3.90 d11=0.266 d3=tick=448449 goal=0 here=0
1789580544.6 POSE x=-5.68 y=-3.93 d11=0.274 d3=tick=448773 goal=0 here=0
1789580547.7 POSE x=-5.72 y=-3.96 d11=0.277 d3=tick=449088 goal=0 here=0
1789580550.9 POSE x=-5.77 y=-4.00 d11=0.283 d3=tick=449406 goal=0 here=0
1789580554.2 POSE x=-5.82 y=-4.03 d11=0.286 d3=tick=449733 goal=0 here=0
1789580557.3 POSE x=-5.87 y=-4.06 d11=0.279 d3=tick=450042 goal=0 here=0
1789580560.1 POSE x=-5.91 y=-4.09 d11=0.275 d3=tick=450325 goal=0 here=0
1789580563.2 POSE x=-5.96 y=-4.13 d11=0.291 d3=tick=450637 goal=0 here=0
