32.18,479278,2.400,-14.119,263.6,314.8,0.624,0.298,92,23.50833333333334,RUN,1.26,0.57,0.32,0.95
32.37,479283,2.390,-14.251,266.7,321.1,0.742,0.280,92,12.459999999999992,RUN,0.95,0.54,0.35,0.95
32.57,479316,2.384,-14.411,268.1,318.8,0.843,0.022,-30,-3.1574999999999944,BRAKE,0.78,0.47,0.43,0.78
32.76,479334,2.377,-14.556,266.9,317.4,0.689,-0.204,-30,-11.327500000000006,BRAKE,0.68,0.41,0.49,0.63
32.95,479334,2.368,-14.683,264.6,315.9,0.668,-0.266,-30,-18.974166666666665,BRAKE,0.67,0.37,0.53,0.62
33.14,479334,2.353,-14.803,261.8,309.0,0.634,-0.253,78.37884921102417,-22.465,RUN,0.76,0.34,0.55,0.75
33.33,479334,2.329,-14.934,258.8,303.1,0.744,-0.261,92,-15.636666666666661,RUN,0.99,0.35,0.53,0.95
33.53,479334,2.294,-15.085,256.2,297.8,0.839,-0.183,92,-5.417500000000002,RUN,0.93,0.39,0.51,0.95
33.72,479435,2.253,-15.246,255.6,296.1,0.908,0.008,-30,3.3716666666666724,BRAKE,0.81,0.45,0.47,0.82
33.90,479443,2.215,-15.402,257.0,297.1,0.802,0.133,71.25602240713422,14.144166666666665,RUN,0.76,0.49,0.41,0.76
34.10,479469,2.184,-15.556,259.7,305.8,0.824,0.267,80.6949369323755,14.724166666666656,RUN,0.81,0.53,0.38,0.83
34.29,479469,2.160,-15.717,262.4,308.8,0.880,0.264,92,-85,RUN,0.95,0.53,2.25,0.95
34.49,479512,2.133,-15.895,262.9,310.6,0.900,0.624,0,0.005833333333331581,COAST,1.01,0.52,0.38,0.62
34.68,479517,2.115,-16.064,264.7,315.4,0.902,0.184,92,7.2500000000000036,RUN,1.04,0.50,0.39,0.95
34.87,479517,2.100,-16.250,266.0,314.7,0.985,0.120,84.72491675913088,-4.47833333333333,RUN,0.87,0.47,0.44,0.90
35.06,479562,2.086,-16.430,264.9,314.7,0.920,-0.140,0,-9.520000000000003,COAST,0.80,0.42,0.49,0.81
35.26,479590,2.068,-16.590,262.7,312.8,0.786,-0.224,80.59350806035359,-14.005833333333339,RUN,0.80,0.39,0.52,0.81
35.45,479603,2.043,-16.746,260.2,306.3,0.833,-0.210,92,-15.515000000000008,RUN,0.88,0.37,0.53,0.92
35.64,479625,2.010,-16.915,258.0,305.3,0.932,-0.174,92,-10.615000000000006,RUN,1.10,0.39,0.51,0.95
35.83,479646,1.969,-17.090,256.4,296.3,0.990,-0.109,91.85000000000001,-0.7225000000000055,RUN,0.94,0.43,0.49,0.95
36.02,479658,1.924,-17.281,257.2,299.3,1.025,0.201,0,3.3249999999999984,COAST,0.82,0.47,0.44,0.84
36.21,479668,1.885,-17.460,258.7,302.0,0.928,0.196,-30,8.680833333333332,BRAKE,0.82,0.50,0.41,0.85
36.40,479701,1.856,-17.627,260.9,304.3,0.873,0.260,90.3131945347837,10.695,RUN,0.87,0.52,0.38,0.90
36.60,479724,1.831,-17.809,263.0,308.6,0.979,0.182,92,5.556666666666655,RUN,0.98,0.49,0.40,0.95
36.79,479726,1.816,-17.999,266.9,322.8,1.025,-0.260,0,1.995833333333338,COAST,0.82,0.46,0.45,0.84
36.98,479757,1.803,-18.179,266.2,314.9,0.943,0.338,92,-23.7025,RUN,0.99,0.40,0.49,0.95
37.17,479779,1.793,-18.358,266.3,320.2,0.927,0.035,92,-20.825000000000003,RUN,0.96,0.37,0.51,0.95
37.36,479794,1.776,-18.542,264.1,311.2,1.000,-0.136,90.48919450297046,-6.876666666666665,RUN,0.91,0.40,0.50,0.94
37.56,479820,1.754,-18.741,263.9,311.4,0.962,0.044,0,6.3716666666666715,COAST,0.75,0.45,0.45,0.75
37.76,479838,1.739,-18.909,266.0,314.2,0.825,0.234,0,19.673333333333336,COAST,0.64,0.52,0.38,0.56
37.95,479858,1.735,-19.052,270.7,322.1,0.724,0.844,0,7.994166666666665,COAST,0.66,0.55,0.33,0.60
38.14,479873,1.742,-19.193,273.9,333.0,0.723,0.329,84.63908486782613,14.17916666666666,RUN,0.81,0.52,0.34,0.82
38.34,479891,1.756,-19.340,276.3,335.6,0.797,0.170,92,9.556666666666665,RUN,0.94,0.49,0.37,0.95
38.54,479891,1.778,-19.509,277.8,342.0,0.886,0.056,92,4.656666666666666,RUN,1.02,0.46,0.40,0.95
38.73,479891,1.803,-19.690,276.6,337.3,0.980,-0.613,0,85,COAST,1.00,2.29,0.42,0.62
38.92,479956,1.817,-19.867,275.3,338.0,0.872,0.049,-30,13.960833333333326,BRAKE,0.81,0.47,0.38,0.82
39.12,479956,1.840,-20.033,279.6,344.9,0.834,-0.204,92,16.395000000000003,RUN,1.02,0.49,0.39,0.95
39.31,479994,1.868,-20.190,280.3,350.3,0.871,0.089,92,0.05833333333333757,RUN,0.96,0.46,0.42,0.95
39.50,480012,1.899,-20.365,279.9,346.9,0.953,-0.110,92,-4.177499999999999,RUN,0.92,0.42,0.46,0.95
