6.7,0.15,0.11,214.8,0.32,0.50,0.43,0.40,0.52,0.84,1.17,0.22,0.21,0.23,0.55,0.65,0.72,1.16,0.31,0.33,0,0
6.9,0.14,0.11,212.3,0.33,0.50,0.45,0.39,0.50,0.77,1.17,0.38,0.21,0.22,0.56,0.62,0.70,1.02,0.30,0.34,0,0
7.1,0.14,0.11,200.8,0.38,0.45,0.46,0.39,0.44,0.58,1.10,1.22,0.19,0.22,0.48,0.54,0.67,0.85,1.48,0.29,0,0
7.3,0.14,0.11,190.2,0.34,0.33,0.50,0.45,0.40,0.53,0.82,1.18,0.23,0.21,0.21,0.56,0.66,0.73,1.08,0.30,0,0
7.4,0.14,0.11,187.0,0.28,0.35,0.49,0.48,0.38,0.44,0.57,1.26,0.41,0.20,0.22,0.53,0.55,0.67,0.94,1.40,0,0
7.6,0.14,0.11,190.3,0.33,0.32,0.52,0.45,0.37,0.49,0.79,1.18,0.38,0.22,0.22,0.59,0.60,0.72,1.03,0.31,0,0
7.8,0.14,0.11,184.9,0.29,0.33,0.50,0.45,0.38,0.46,0.75,1.22,0.39,0.22,0.23,0.54,0.59,0.69,0.98,1.39,0,0
8.0,0.14,0.11,191.6,0.32,0.33,0.50,0.44,0.38,0.48,0.80,1.19,0.37,0.19,0.22,0.56,0.61,0.68,1.01,0.32,0,0
8.2,0.14,0.11,188.9,0.32,0.35,0.49,0.46,0.38,0.46,-1.00,1.23,0.38,0.21,0.22,0.58,0.58,0.70,0.97,1.41,0,0
8.3,0.14,0.11,190.0,0.31,0.35,0.50,0.44,0.37,0.51,0.78,1.18,0.37,0.20,0.22,0.58,0.60,0.68,1.04,0.28,0,0
8.5,0.14,0.11,186.1,0.30,0.33,0.51,0.47,0.39,0.47,0.75,1.21,0.37,0.23,0.21,0.56,0.59,0.68,0.98,1.41,0,0
8.6,0.14,0.11,190.9,0.33,0.34,0.52,0.45,0.38,-1.00,0.79,1.18,0.37,0.21,0.22,-1.00,0.61,-1.00,1.04,0.32,0,0
8.8,0.14,0.11,186.2,0.30,0.33,0.49,0.45,0.39,0.46,0.76,1.23,0.39,0.20,0.22,0.57,0.58,0.71,0.98,1.40,0,0
8.9,0.14,0.11,189.2,0.32,0.33,0.51,0.46,0.38,0.48,0.78,1.18,-1.00,0.21,0.23,0.57,0.61,0.69,1.02,0.29,0,0
9.1,0.14,0.11,187.2,-1.00,0.34,0.50,0.48,0.37,0.46,0.76,1.20,0.38,0.20,0.23,0.52,0.59,0.68,0.98,1.42,0,0
9.3,0.14,0.11,189.6,0.32,0.35,0.50,0.46,0.39,0.48,0.75,1.23,0.37,0.21,0.22,0.55,0.58,0.69,1.00,1.39,0,0
9.4,0.14,0.11,195.7,0.34,0.31,0.47,0.41,0.40,0.54,0.85,1.20,0.19,0.20,0.23,0.55,0.66,0.80,1.27,0.30,0,0
9.6,0.14,0.11,190.8,0.35,0.33,0.49,0.43,0.39,0.52,0.81,1.19,0.22,0.20,0.22,0.57,0.63,0.72,1.10,0.30,0,0
9.7,0.14,0.11,186.2,0.29,0.36,0.51,0.48,0.37,0.46,0.59,1.24,0.41,0.20,0.22,0.49,0.57,0.69,0.96,1.40,0,0
9.9,0.14,0.11,191.6,0.29,0.33,0.49,0.45,0.40,0.45,0.75,1.22,0.40,0.21,0.22,0.57,0.58,0.71,0.97,1.40,0,0
10.0,0.14,0.11,195.3,0.34,0.32,0.49,0.42,0.41,0.52,0.83,1.20,0.20,0.22,0.22,0.55,0.65,0.80,1.26,0.30,0,0
10.2,0.14,0.11,191.1,0.34,0.31,0.48,0.45,0.39,0.52,0.82,1.19,0.22,0.20,0.23,0.57,0.62,0.72,1.09,0.26,0,0
10.3,0.14,0.11,182.6,0.29,0.36,0.48,0.46,0.38,0.45,0.59,1.26,0.41,0.20,0.23,0.52,0.56,0.69,0.96,1.40,0,0
10.5,0.14,0.11,191.3,0.30,0.32,0.51,0.46,0.37,0.47,0.76,1.20,0.38,0.21,0.23,0.58,0.58,0.67,1.00,1.38,0,0
10.6,0.14,0.11,198.9,0.36,0.34,0.49,0.41,0.41,0.54,0.88,1.20,0.18,0.22,0.23,0.54,0.67,0.80,1.28,0.29,0,0
10.8,0.14,0.11,195.2,0.37,0.35,0.49,0.43,0.40,0.55,0.81,1.17,0.22,0.22,0.23,0.54,0.63,0.73,1.13,0.32,0,0
10.9,0.14,0.11,188.0,0.28,-1.00,0.47,0.47,0.39,0.45,0.59,1.25,0.39,0.19,0.25,0.53,0.56,0.68,0.95,1.41,0,0
11.1,0.14,0.11,188.2,0.31,0.36,0.52,0.46,0.36,0.47,0.77,1.22,0.40,0.21,0.23,0.58,0.57,0.72,0.99,1.40,0,0
11.2,0.14,0.11,198.6,0.35,0.31,0.50,0.41,0.40,0.54,0.87,1.19,0.18,0.18,0.24,0.56,0.65,0.79,1.29,0.28,0,0
11.4,0.14,0.11,195.3,0.33,0.32,0.49,0.45,0.41,0.52,0.83,1.17,0.22,0.19,0.22,0.57,0.65,0.72,1.16,0.30,0,0
11.5,0.14,0.11,184.9,0.29,0.35,0.48,0.46,0.39,0.46,0.59,1.26,0.38,0.20,0.21,0.52,0.56,0.67,0.95,1.39,0,0
11.7,0.14,0.11,187.9,0.29,0.33,0.49,0.45,0.38,0.46,0.75,1.21,0.37,0.21,0.23,0.58,0.58,0.70,0.98,1.41,0,0
11.8,0.14,0.11,196.1,0.38,0.32,0.48,0.42,0.40,0.53,0.87,1.20,0.21,0.22,0.22,0.54,0.66,0.82,1.27,0.30,0,0
12.0,0.14,0.11,193.7,0.34,0.33,0.49,0.44,0.39,0.54,0.84,1.17,0.20,0.21,0.22,0.56,0.64,0.75,1.14,0.29,0,0
12.1,0.14,0.11,184.2,0.31,0.33,0.48,0.46,0.38,0.46,0.59,1.23,0.39,0.19,0.21,0.51,0.58,0.69,0.97,1.41,0,0
12.3,0.14,0.11,188.5,0.29,0.35,0.50,0.46,0.35,0.46,0.76,1.21,0.40,0.21,0.21,0.59,0.58,0.69,0.99,0.30,0,0
12.4,0.14,0.11,187.4,0.30,0.35,0.50,0.47,0.38,0.45,0.60,1.25,0.39,0.21,0.24,0.50,0.54,0.67,0.97,1.41,0,0
12.6,0.15,0.11,191.5,0.29,0.35,0.49,0.46,0.38,0.47,0.75,1.22,0.39,0.21,-1.00,0.60,0.58,0.70,1.00,0.32,0,0
12.8,0.14,0.11,197.2,0.36,0.32,0.47,0.40,0.43,0.55,1.02,1.23,0.18,0.20,0.27,0.53,0.67,0.83,1.32,0.29,0,0
12.9,0.14,0.11,198.5,0.36,0.33,0.48,0.41,0.40,0.54,0.89,1.21,0.18,0.21,0.23,0.54,0.66,0.79,1.28,0.30,0,0
13.1,0.14,0.11,189.8,0.30,0.34,0.50,0.46,0.38,0.47,0.76,1.23,0.39,0.20,0.23,0.60,0.60,0.70,1.00,1.39,0,0
13.3,0.14,0.11,192.2,0.33,0.34,0.48,0.42,0.40,0.52,0.81,1.18,0.22,0.20,0.24,0.55,0.62,0.72,1.12,0.32,0,0
13.4,0.14,0.11,190.3,0.32,0.35,0.52,0.44,0.38,0.48,0.79,1.16,0.36,0.21,0.22,0.57,0.62,0.70,1.02,0.29,0,0
13.6,0.14,0.11,179.5,0.30,0.37,0.38,0.47,0.39,0.44,0.57,1.10,1.22,0.20,0.22,0.48,0.55,0.66,0.81,1.49,0,0
13.8,0.14,0.11,184.8,0.28,0.36,0.46,0.46,0.36,0.45,0.56,1.14,0.43,0.19,0.21,0.48,0.55,0.68,0.83,1.42,0,0
14.0,0.14,0.11,195.0,0.32,0.33,0.48,0.43,0.41,0.52,0.83,1.18,0.20,0.21,0.23,0.56,0.64,0.73,1.12,0.29,0,0
14.1,0.14,0.11,190.4,0.31,0.34,0.51,0.44,0.37,0.50,0.78,1.18,0.36,0.21,0.23,0.56,0.60,0.70,1.03,0.30,0,0
14.3,0.14,0.11,180.1,0.30,0.35,0.47,0.47,0.40,0.45,0.57,1.14,0.43,-1.00,0.23,0.48,0.55,0.68,0.81,1.43,0,0
14.4,0.14,0.11,180.7,0.28,0.35,0.49,-1.00,0.37,0.46,0.59,1.25,0.40,0.20,0.20,0.51,0.57,0.71,0.96,1.41,0,0
14.6,0.14,0.11,194.4,0.33,0.33,0.48,0.43,0.41,0.52,0.83,1.18,0.21,0.20,0.22,0.57,0.64,0.72,1.13,0.31,0,0
14.7,0.14,0.11,188.5,0.35,0.34,0.49,0.46,0.38,0.51,0.79,1.17,0.37,0.21,0.21,0.58,0.63,0.69,1.03,0.31,0,0
14.9,0.14,0.11,184.2,0.28,0.38,0.49,0.48,0.38,0.45,0.56,1.14,0.43,0.18,0.22,0.49,0.53,0.67,0.82,1.42,0,0
15.0,0.14,0.11,188.5,0.30,0.33,0.48,0.46,0.38,0.43,0.59,1.24,0.40,0.20,0.23,0.52,0.56,0.68,0.96,1.40,0,0
15.2,0.14,0.11,190.9,0.34,0.32,0.48,0.44,0.41,0.53,0.83,1.18,0.21,0.20,0.23,0.56,0.65,0.72,1.13,0.30,0,0
15.4,0.14,0.11,185.1,0.31,0.34,0.49,0.47,0.38,0.47,0.76,1.21,0.38,0.20,0.23,0.58,0.58,0.70,0.98,1.39,0,0
